Идентификатор,Роль,Действие,as is (по телефону),as is (очно),Проблемы,to be (в системе),to be (очно),Решение проблемы
st00500,Менеджер,Назначение каждому мастеру услуг которые он может выполнять,-,-,Ручное составление расписания/ возникновение ошибок и дублей,+,-,"Облегчение нагрузки менеджера
Автоматизация процессов"
st00500,Менеджер,Составление расписания сотрудникам,-,+,Ручное составление расписания/ возникновение ошибок и дублей,+,-,"Облегчение нагрузки менеджера
Автоматизация процессов"
st00500,Менеджер,Рассылка расписания сотрудникам,+,-,Множество ручной рутинной работы,+,-,Просмотр сотрудников расписания в системе
st00500,Менеджер,Ввод новых услуг/ заполнение информации по ним,-,-,,+,-,
st00500,Менеджер,Настройка расписания отправления уведомлений,-,-,,+,-,
st00500,Менеджер,Выставление отметок о выполнении услуг,-,-,Множество ручной рутинной работы,+,-,Появляется инструмент отслеживания записей
st00500,Менеджер,Общение с клиентом,+,+,,-,+,
st00500,Менеджер,Получение оплаты,-,+,Расхождения между финансовой отчетностью и реальностью,+,-,Отсутствие расхождений благодаря проставлению отметок о выполнении услуг
st00500,Менеджер,Составление журналов санобработки помещений,-,+,Множество ручной рутинной работы,+,-,Автоматическое создание журналов санобработки помещений
st00500,Менеджер,Начисление оплаты,-,-,,+,-,
st00500,Менеджер,Просмотр услуг/ мастеров/ отзывов,-,-,,+,-,
st00600,Администратор системы,Создание новых аккаунтов для сотрудников,-,-,,+,-,
st00600,Администратор системы,Распределение/ изменение и просмотр прав доступа,-,-,Несанкционированный доступ к системе,+,-,Права доступа имеют только сотрудники/ которым назначит администратор
st00600,Администратор системы,Просмотр истории действий внутри приложения,-,-,Пользователи системы могут совершать ошибочные действия,+,-,Возможность понять на каком этапе произошла ошибка благодаря автозаписи действий
st00600,Администратор системы,Отмена действий пользователей/ бэкап системы,-,-,Пользователи системы могут совершать ошибочные действия,+,-,Исправление ошибок
st00600,Администратор системы,Удаление старых/лишних аккаунтов,-,-,Устаревание информации/ накопление лишних аккаунтов,+,-,Более чистая система
st00800,Разработчики системы,Тестирование приложения,-,-,,+,-,
st00800,Разработчики системы,Добавление новых функций,-,-,,+,-,
st00800,Разработчики системы,Выполнение действий с любой роли проекта,-,-,,+,-,
st00800,Разработчики системы,Просмотр кода,-,-,,+,-,
st00900,Служба сопровождения,Добавление и редактирование списка часто задаваемых вопросов,-,-,У клиентов и посетителей возникают проблемы с работой приложения,+,-,При внедрении новой системы всем пользователям будет гораздо легче
st00900,Служба сопровождения,Общение с клиентом при возникновении проблем с приложением,-,-,У клиентов и посетителей возникают проблемы с работой приложения,+,-,При внедрении новой системы всем пользователям будет гораздо легче
st00900,Служба сопровождения,Оповещение клиентов о технических работах/ сбоях,-,-,При технических сбоях клиенты не знают как записаться на услугу,+,-,Оповещение всех пользователей о сбоях/технических работах чтобы все не начинали писать в службу сопровождения
st00900,Служба сопровождения,Получение информации о работоспособности/ загруженности приложения и сбоях,-,-,Сложно вычислить причину сбоя,+,-,Просмотр параметров работы системы поможет быстрее диагностировать проблемы
st00100,Бухгалтер,Запрос информации по оплаченным услугам,-,+,,+,+,
st01200,Управляющий,Просмотр статитстики и истории записей,-,-,,+,-,
st01200,Управляющий,Просмотр услуг за период и по категориям,-,-,Отсутствие информации о финансовых операциях внутри конкретного барершопа,+,-,Каждый барбершоп сможет собирать статистику по записям
st01200,Управляющий,Просмотр информации по мастерам,-,-,,+,-,
